station_std_id,1_code,2_code,3_code,4_code,5_code,1_ratio,2_ratio,3_ratio,4_ratio,5_ratio,building_cnt,area
107900013,1,4,2,6,3,0.5159,0.35112,0.063,0.03571,0.02244,520,248555.2
107900014,1,4,2,12,3,0.56623,0.17953,0.12038,0.04455,0.0433,1669,1580177.9
107900015,1,4,2,6,\N,0.90969,0.0435,0.02614,0.02067,\N,85,512894.6
107900016,1,2,3,4,6,0.47479,0.26504,0.11514,0.07493,0.04493,320,118663.9
107900017,1,4,2,3,6,0.46591,0.4354,0.07605,0.0188,0.00145,559,377102.2
107900018,1,4,2,3,6,0.57478,0.25125,0.14668,0.01588,0.0103,121,88016.0
107900019,1,4,2,3,9,0.50079,0.19487,0.17603,0.09516,0.01971,655,483055.1
107900020,4,1,2,3,6,0.54155,0.24803,0.12851,0.06836,0.01311,346,624061.0
107900021,1,6,2,4,\N,0.83365,0.09111,0.06067,0.01457,\N,214,96542.7
107900023,1,4,2,12,3,0.54883,0.24569,0.09005,0.0611,0.01899,688,1099652.7
107900024,1,4,3,2,13,0.85471,0.04262,0.03729,0.02856,0.0177,176,164514.6
107900025,1,2,3,6,7,0.77778,0.14673,0.03498,0.03191,0.0086,326,148368.2
107900026,1,2,3,4,9,0.67412,0.13069,0.10131,0.06697,0.02214,368,388198.5
107900027,4,2,1,6,3,0.98566,0.0078,0.00506,0.00076,0.00063,299,8250161.8
107900028,1,2,6,4,3,0.92527,0.03713,0.02716,0.00523,0.00521,299,316123.5
107900030,1,2,4,6,5,0.77413,0.11443,0.03947,0.02339,0.01855,1968,642432.6
107900031,1,4,2,6,3,0.52312,0.26495,0.11253,0.03771,0.02725,1104,470858.6
107900032,1,4,2,3,12,0.50551,0.22948,0.12765,0.04643,0.03808,1943,1848674.5
107900033,4,1,2,12,6,0.49436,0.20033,0.13861,0.12314,0.01852,247,545581.3
107900034,1,4,2,6,3,0.85904,0.08861,0.0294,0.01875,0.00308,218,720962.9
107900035,1,4,2,6,3,0.86345,0.0566,0.03339,0.02656,0.01233,622,1591854.4
107900036,1,6,11,2,4,0.76157,0.06722,0.06561,0.04155,0.04077,1502,907111.0
107900037,1,4,6,2,10,0.68016,0.25479,0.03162,0.02114,0.01227,73,20993.6
107900038,1,2,3,4,6,0.54594,0.31641,0.10569,0.01037,0.00813,198,67097.8
107900039,1,2,4,3,6,0.77916,0.08394,0.08028,0.02713,0.0248,353,323851.4
107900040,1,2,4,6,3,0.401,0.29797,0.17345,0.10293,0.02466,107,60706.1
107900041,1,2,6,3,4,0.91964,0.04538,0.0196,0.0145,0.00089,248,277388.9
107900043,1,2,4,6,5,0.7036,0.13118,0.07676,0.02795,0.02502,1758,525662.5
107900044,1,4,2,12,3,0.45977,0.29444,0.11374,0.07617,0.0287,594,906098.1
107900045,1,4,2,6,7,0.85538,0.09639,0.0312,0.00601,0.0052,240,662760.3
107900046,1,2,6,3,5,0.87765,0.04512,0.02359,0.02293,0.0106,816,1220761.3
107900047,1,4,6,\N,\N,0.73919,0.23116,0.02966,\N,\N,84,22382.7
107900048,1,2,6,3,4,0.8358,0.09456,0.02415,0.02102,0.01008,766,301964.1
